Вакансия,Зарплата,Местоположение,Описание
"Web - дизайнер, UX/UI дизайнер",10 000 руб.,Город не указан,"UX/UI Дизайнер (Junior), Веб-дизайнер Навыки ●	Знание инструментов Figma, Photoshop, Illustrator, Tilda, After Effects (базовые навыки) ●	Понимание принципов UX/UI ●	Понимание принципов usability веб-..."
Дизайнер,25 000 руб.,Город не указан,"Здравствуйте! Меня зовут Анастасия, я иллюстратор и графический дизайнер. Получила среднее профессиональное и высшее образование (бакалавр) в Международном Институте Дизайна и Сервиса (МИДиС) по специ..."
Web-дизайнер,40 000 руб.,Город не указан,"Увлекаюсь дизайном около 5 лет. Первоначально занималась дизайном интерьеров. Он помог мне освоить навыки рисования, умение работать со светом и цветом. Сейчас основательно занимаюсь веб-дизайном (бол..."
Художник,30 000 руб.,Город не указан,"ОБРАЗОВАНИЕ 1981-1986 гг. – УдГУ, художественно-графический факультет (художник,                             преподаватель ИЗО)           1991 г. – Удмуртский учебный центр Госкомстата РСФСР (бухгалте..."
Фотограф,10 000 руб.,Город не указан,"Здравствуйте, меня зовут Виктория, я из города Ереван,у меня два высших образования ( регионовед，политолог) в течение 3 лет (2013-2016) работала в университете ( лаборант по учебной части, преподавате..."
Бизнес асистен удаленно,10 000 руб.,Город не указан,"Здравствуйте, меня зовут Виктория, я из города Ереван,у меня два высших образования ( регионовед，политолог) в течение 3 лет (2013-2016) работала в университете ( лаборант по учебной части, преподавате..."
Дизайнер полиграфии,30 000 руб.,Город не указан,"Здравствуйте! Меня зовут Виктория. Мне 25 лет, проживаю в Москве. Стаж работы дизайнером 3 года. Дизайн полиграфии (визитки, листовки, дисконтные карты, стикеры, буклеты, реклама разных форматов на фи..."
Дизайнер интерьера,30 000 руб.,Город не указан,"Учусь на дизайнера интерьеров. Закончила первый блок. Есть 2 учебных проекта + проект собственной квартиры. Владею  ArchiCAD, CorelDRAW, в процессе освоения Photoshop Отлично создаю планировки в соотв..."
Дизайнер конструктор корпусной мебели,50 000 руб.,Город не указан,"Работала технологом на производстве.  Есть хороший опыт выдачи заказов в работу (раскрой, присадка, деталировка, смета). Разрабатывала и индивидуальные заказы: кухни, шкафы, встройка, шкафы-купе, детс..."
Начальник отдела аренды,45 000 руб.,Город не указан,"Ноябрь 2018 — май 2020   Общество с ограниченной ответственностью «Техно-торговый центр «ФОЛИУМ» Менеджер по развитию и арендным отношениям розничной сети. Поиск арендных площадей, арендаторов/субарен..."
Тестировщик,30 000 руб.,Город не указан,"Ключевые навыки  Знание языков  Русский — Родной  Английский — B2 — Средне-продвинутый  Немецкий — A1 — Начальный      Системы управления тестированием: Testlink, TestRail  Системы Баг-репортов: Jira..."
Веб-верстальщик,20 000 руб.,Город не указан,"Занимаюсь версткой сайтов на чистом HTML CSS, JavaScript (JQuery) с шаблонов Figma и Photoshop, работаю с pixelperfect, делаю дизайн сайтов на Figma."
Тестировщик ПО,27 000 руб.,Город не указан,"Опыт работы: 1 год Февраль 2020 — по настоящее время: Тестировщик ПО Проект: Учетная система менеджмента офферов партнерской сети ""Лидреактор"". Система служит для управления рекламными предложениями,..."
Веб-дизайн,35 000 руб.,Город не указан,Алгоритм работы над макетом: — Бриф (сбор первичной информации) — Конкурентный анализ (сайтов сходной тематики) — Визуальный анализ (сайтов сходной тематики) — Структура сайта/страницы (совместно с за...
Графичесский дизайнер,70 000 руб.,Город не указан,"Образование (2018 – 2022) - Санкт-Петербургский политехнический университет Петра Великого бакалавриат – Графический дизайн  (с отличием). Навыки Adobe Illustrator, Adobe Photoshop, Adobe InDesign, Ad..."
Дизайнер презентаций,5 000 руб.,Город не указан,"Могу создать презентацию по любой теме, основываясь на предоставленном материале. При создании дизайна стараюсь следовать актуальным тенденциям."
Дизайн инфографики для маркетплейс,5 000 руб.,Город не указан,Работаю фрилансером в сфере графического дизайна. Упакую вашу идею и создам: - Продающие карточки для маркетплейсов; - Афишу/баннер для вашего мероприятия; - Креативы для социальных сетей Профессионал...
Менеджер,20 000 руб.,Город не указан,"В сфере производства полиграфической и сувенирной продукции работаю более 13 лет. Как со стороны заказчика (менеджер отделал полиграфии в рекламном агентстве), так и со стороны производства (менеджер..."
3D-визуализатор,50 000 руб.,Город не указан,"Создание 3D дизайн-проектов по чертежам заказчика с полной 3D-визуализацией. Интерьер, экстерьер, отдельные модели и др. Владение 3DS Max, Unreal Engine, Substance Painter, Photoshop, ZBrush, Marvelou..."
Ассистент руководителя (удаленно),80 000 руб.,Город не указан,"Меня зовут Анастасия. Сейчас нахожусь в поисках официальной удаленной работы ассистентом руководителя (многолетний опыт). Для работы на дому есть ноутбук HP (Windows 10), стабильный интернет,  электро..."
Дизайнер(Превью),4 000 руб.,Город не указан,Я еще не работал в этой сфере но очень хорошо разбираюсь в этой сфере и умею работать с фотошопом.За каждое превью отдельная плата.
"SMM, контент-менеджер / модератор / Оператор поддержки / Архитектор туннелей продаж",20 000 руб.,Город не указан,Опыт работы  Архитектор туннелей продаж   07.2019 по 12.2019   AMG Medical (Сеть Онкологический центров Израиля)   Настройка Leeloo.ai  Выбор стратегии продвижения  Составление портрета ЦА  Разработка...
Помощник веб-дизайнера,20 000 руб.,Город не указан,"Ключевые навыки:  Figma, Adobe Photoshop, Adobe Illustrator, HTML5, CSS3, Графический дизайн, Пользователь ПК, Грамотная речь, Креативность, Web-дизайн, Адаптивный дизайн, Тайм-менеджмент, UI, Типогра..."
Графический дизайнер,20 000 руб.,Город не указан,"Ответственная, активная, доброжелательная, пунктуальная, целеустремленная. Высокая работоспособность, нацеленность на результат. Умею легко находить общий язык с людьми. Грамотная речь. Уверенный поль..."
Дизайнер интерьера,40 000 руб.,Город не указан,"Я Дизайнер интерьеров. Обучалась на архитектурном факультете, в городе Томск. Так как дизайн мне был всегда интересней, я больше углубилась в эту специализацию. Обладаю высоким навыком рисования, разв..."
Специалист по созданию сайтов UX/UI дизайнер,70 000 руб.,Город не указан,Специалист по созданию сайтов на Tilda UX/UI дизайнер. Ключевые навыки Tilda; Figma; Photoshop.
Дизайнер - Интерьеров,5 000 руб.,Город не указан,"Добрый день!  Я занимаюсь и работаю в сфере дизайна интерьеров .  1) Имею  опыт работы 3 года . 2) Имею Высшее образование - заканчивал - ""ДВФУ"" ( Дальневосточный Федеральный Университет )  3) Имею та..."
Дизайнер интерьера,80 000 руб.,Город не указан,"Высшее образование:  ПИ СФУ (бывш. КГТУ) (Красноярск), Инженерная и компьютерная графика, Инженер-педагог; Высшее образование:  СФУ (Красноярск), Архитектурный, Дизайн архитектурной среды. Опыт работы..."
UX/Ui дизайнер,40 000 руб.,Город не указан,Здравствуйте меня зовут Дмитрий я начинающий специалист уже есть опыт работы с проектами ознакомится с портфолио можно тут  https://www.behance.net/misrertogfog Навыки • Составлять пользовательские сц...
"Дизайн, копирайт",25 000 руб.,Город не указан,"Готов к работе в полную меру. Умею креативно подходить к работе. Владею отличными навыками в создании презентаций (PowerPoint), а также работа в Word."
Intern web designer,15 000 руб.,Город не указан,"Стажёр веб-дизайнер с опытом 4 месяца. Набираю простые проекты для создания портфолио. Владею Figma, Adobe Photoshop, Adobe Illustrator. Умею делать только покадровые анимации и экспортировать их в .g..."
Junior QA tester,25 000 руб.,Город не указан,"- Возраст - 22 года - Образование:  1) Башкирский государственный университет, Уфа, магистр направления ""статистика"" профиль ""технологии анализа данных"" (2020 - 2022) 2)  Курсы ""Тестировщик ПО"" от ""Ge..."
Дизайнер инфографики для маркетплейсов/ рекламных креативов,20 000 руб.,Город не указан,"Разработаю дизайн инфографики карточки для Вашего товара, которая подчеркнёт его преимущества и будет выделяться на фоне конкурентов. Бесплатно проконсультирую и расскажу о дальнейших шагах. Опыт в ра..."
Дизайнер полиграфии,30 000 руб.,Город не указан,Ищу работу дизайнером С 2014 года по октябрь работала художником-дизайнеро 1 категории в редакционно-издательском отделе
Дизайнер графический,35 000 руб.,Город не указан,"Разработка дизайна открыток, плакатов, рекламы, выставок. Компьютер: Adobe Photoshop, Illustrator, CorelDraw, Indesign, Pro-100, Kitchen Draw, MS Exсell, Internet."
Реклама и Графический дизайн,35 000 руб.,Город не указан,"Умения работать в таких программах как (Figma, Corel Draw, Photoshop, Illustrator) Без опыта работы так как в этом году выпустился с колледжа, но нацелен на продуктивную деятельность"
SEO оптимизатор,30 000 руб.,Город не указан,Краткая информация Дата рождения: 01.07.1993 Проживание: Молдова Семейное положение: холост Цель обращения: получение должности SEO специалиста Опыт работы 2018-2019 - контент-менеджер (удаленная рабо...
Специалист / менеджер YouTube,15 000 руб.,Город не указан,"Личные качества: выполнение работы в срок, целеустремленность, желание работать на результат, ответственность. Предоставляемые услуги: -Первичный аудит канала. -Дизайн канала - Консультирование клиент..."
"Чертежник в Revit, помощник дизайнера интерьера",25 000 руб.,Город не указан,2022 г. Школа BIM-проектирования INT Lines Создание интерьера в AUTODESK REVIT (есть сертификат) Создание семейств в REVIT BASE 2005 г. –2010 г. Оренбургский государственный университет. Электроснабже...
Дизайнер карточек для маркетплейсов,30 000 руб.,Город не указан,Доброго вам времени суток! Меня зовут Андрей и я занимаюсь графическим дизайном. Специализируюсь на создании карточек товаров на маркетплейсах Wildberries и OZON. Делаю именно ПРОДАЮЩИЙ ДИЗАЙН карточе...
Веб-дизайнер,20 000 руб.,Город не указан,"Владение ПО на достойном уровне. Понимание и постоянное изучение новых программ, таких как Figma и Photoshop. Готова к изучению новых программ, используемых в работе."
Дизайнер интерьеров,60 000 руб.,Город не указан,"Дизайнер интерьера с опытом работы над жилыми, офисными, коммерческими помещениями.Выполняю визуализацию, рабочие чертежи, подбор материалов. Имею представления о всех этапах ремонта или строительства..."
UX/UI Designer,10 000 руб.,Город не указан,"В настоящее время прохожу обучение в Skillbox  по профессии ""Дизайнер мобильных приложений"". Имею высшее образование (юридическое) и опыт работы в юриспруденции (10 лет).  Умею работать в Figma (готов..."
"Телемаркетолог, оператор Call - центра",25 000 руб.,Город не указан,"Опыт работы 3 года 5 месяцев.  Оператор call-центра Обзвон "" социальные опросы"" Есть опыт в общении с ""не лояльными респондентами"" Опыт в написании скриптов.  Сентябрь 2020 — ноябрь 2020 B. T. M. Foun..."
Директолог,5 000 руб.,Город не указан,"Профессиональные навыки: 1. Проведение предпроектного исследования в поисковых системах Яндекс Директ. 1.1	Анализ целевой аудитории. 1.2	Проведение аудита предыдущих кампаний (опционально, если были)...."
"Специалист допечатного цикла офсета, препресс инженер, полиграф.дизайнер",3 000 руб.,Город не указан,"ПРОФЕССИОНАЛЬНО и целенаправленно занимаюсь полиграфией, многополосными изданиями, нестандартной цветностью печати (пантоны, спец. агенты печати), допечатной подготовкой. В состоянии подготовить к печ..."
Web-Designer,10 000 руб.,Город не указан,"Web-дизайнер (UI/UX), опыт работы в Figma/Tilda. Есть несколько примеров работ, стаж 1 год."
Тестировщик - стажер,30 000 руб.,Город не указан,"Опыт работы: Декабрь 2017 — Апрель 2020 2 года 5 месяцев АО ""Супер-Авто Холдинг"" Слесарь МСР Сборка автомобилей Март 2016 — Февраль 2017 1 год ООО ""ДЭСКА"" Россия Ведущий менеджер по качеству Разработк..."
Стажер- тестировщик,25 000 руб.,Город не указан,"Опыт работы — 29 лет 6 месяцев: Декабрь 2017 —Апрель 2020 2 года 5 месяцев АО ""Супер-Авто Холдинг"" Слесарь МСР Сборка автомобилей Март 2016 — Февраль 2017 1 год ООО ""ДЭСКА"" Россия Ведущий менеджер по..."
Html-верстальщик,20 000 руб.,Город не указан,Образование: 1. Новосибирский Электротехнический Институт. Факультет Автоматики и Вычислительной Техники/ 2. Успешно освоен базовый и продвинутый интенсив HTML ACADEMY. 3. Окончил курс «Интенсив “Веб-...
Финансовый директор,100 000 руб.,Город не указан,"Январь 2020 — Июль 2020 Бизнес-направление ""Медтехника"" - производство медицинских масок (Группа компаний АТХ - проектирование, строительство, производство оборудования и автоматизация сельскохозяйств..."
Графический дизайнер,70 000 руб.,Город не указан,"Опыт работы в дизайне (полиграфия, текстиль): 7 лет Образование: Среднее-специальное (Полиграфический техникум №56), год окончания 2013; Высшее (МГТА (Московская гуманитарно-техническая академия)), го..."
Копирайтер,30 000 руб.,Город не указан,"Опыт работы 12 лет 10 месяцев Июль 2020 — по настоящее время Копирайтер (фриланс)  Москва, sites.google.com/view/portfolioksen/ - Создание информационных, продающих, SEO-текстов (темы: строительство,..."
Специалист на удаленную работу,40 000 руб.,Город не указан,"Ищу уделённую работу с занятостью не более 3-4 дней в неделю. Имею опыт работы дизайнером в рекламе, инженером в мостостроительной фирме, экономистом в строительстве по планированию фонда оплаты труда..."
Программист,40 000 руб.,Город не указан,ОБРАЗОВАНИЕ:  1998-2003 Кузбасский Государственный Технический Университет. Горно-электромеханический факультет. Специализация: Инженер по специальности «Электропривод и автоматизация промышленных уст...
"Маркетолог, таргетолог, контент-менеджер",20 000 руб.,Город не указан,"Умею работать с людьми, находить выход из различных конфликтных ситуаций. Я очень коммуникабельный человек. Ответственная и исполнительная. Не боюсь браться за незнакомую работу. Владею компьютером (б..."
Ассистент руководителя,25 000 руб.,Город не указан,"Январь 2020 — ноябрь 2020 ИП Исмаилов Е.А, web-студия (удалённо), г.Краснодар Помощник project-менеджера / ассистент руководителя • Общение с заказчиками в Skype, назначение встреч, сбор пожеланий, сд..."
Художник,20 000 руб.,Город не указан,"Закончила училище культуры и искусств на специальности Дизайн. Имею опыт работы с графическом планшетом. Владею навыками работы в Adobe Photoshop, CoralDRAW, PaintToolSAI. Моё портфолио: https://drive..."
Дизайнер - визуализатор мебели и интерьера,30 000 руб.,Город не указан,"Работаю в мебельном бизнесе 11 лет, занимаюсь планировкой кухонь, шкафов и другой мебели, подбором материалов, подготовка проекта в производство. Ищу удаленную работу без графика."
Дизайнер инфографики,30 000 руб.,Город не указан,"Добро пожаловать, Уважаемые Поставщики! ✨  Меня зовут Дарья"
Веб-дизайнер,60 000 руб.,Город не указан,Прошел обучение по веб-дизайну. Уверенно владею Figma и Tilda. Разработка UI & IX.  Дизайн и прототипирование сайтов с нуля и под ключ. Имею базовое понимание основ маркетинга. Готов пройти любое...
Рерайтер,10 000 руб.,Город не указан,"Цель: Получение вакантной должности рерайтера .  Образование: сентябрь 2014 г. – июнь 2019г., РОАТ(МИИТ) оконченное высшее образование по профилю «Финансы и кредит». Опыт работы на сайтах 6 месяцев. П..."
Менеджер  по  работе  с  клиентами,45 000 руб.,Город не указан,"Образование:   Московский институт инженеров Гражданской авиации, факультет-Механический,  инженер механик, диплом – 1993г.   Институт дополнительного профессионального образования специалистов - Охра..."
Верстальщик,3 000 руб.,Город не указан,"Профессинальные навыки Специалист в области полиграфии на уровне эксперта. Полиграфическая верстка любого объма и сложности в Adobe InDesign (под Mac OS), QuarkXPress (не желательно, устарело). Дизайн..."
Художник,15 000 руб.,Город не указан,"Опыт работы:      	  1985г. – 1988г. Институт Агропромпроект  (г. Свердловск). Техник-архитектор. Основная обязанность – графическое оформление планов, фасадов жилых домов и общественных зданий.  1988..."
Иллюстратор,20 000 руб.,Город не указан,"Здравствуйте! Меня зовут Ирина, я визуальный дизайнер и художник-иллюстратор. Есть опыт создания логотипов, иллюстраций, фоновых рисунков, стикеров, дизайн персонажей и т.д."
Дизайнер карточек для маркетплейсов,35 000 руб.,Город не указан,"Здравствуйте. Ищу работу по дизайну карточек на маркетплейсах. Ретушью занимаюсь более 5 лет. Работала с интернет магазином ретушировала предметку, одежду, обувь, моделей. Также работала с частным Фот..."
Дизайнер интерьера,40 000 руб.,Город не указан,Кириллова Александра Александровна Возраст: 24 года 	Опыт работы на заказчиков и реализации объектов 4 года.  	Образование: СГИИ им. Д. Хворостовского 2016-2020г.  	Факультет: Дизайн среды 	Специа...
Графический дизайнер,55 000 руб.,Город не указан,"Я хороший исполнитель, грамотное ТЗ помогает мне быстро сориентироваться в стиле и желаниях заказчика. В то же время я часто работала в условиях неопределённости, когда необходимо было креативить новы..."
Художник-иллюстратор,20 000 руб.,Город не указан,"Опыт работы художником над индивидуальными проектами 5 лет.  2 года работы на компании, занимающиеся векторными портретами и другой полиграфической деятельностью. 1 год работы на должности дизайнер в..."
Копирайтер / Переводчик,30 000 руб.,Город не указан,"Ищу удаленную работу Копирайтером!  Образование: Маркетинг,  Знание ин. языков: английский- свободный. испанский- средний,  Опыт работы:  Менеджер по продажам, менеджер по работе с клиентами в сфере о..."
It-специалист,35 000 руб.,Город не указан,"Ключевые навыки Основные: Продвинутый пользователь ПК, отличное знание ПО,  опыт разработки дизайна логотипов и артов. Знание программ Adobe Photoshop, Illustrator CC, Adobe Premiere Elements, Adobe A..."
3D Дизайнер,30 000 руб.,Город не указан,Добрый день! Меня зовут Никита и я ищу работу в сфере коммерческой 3D иллюстрации или образования. Софт: Blender Substance Painter Adobe Illustrator Photoshop Figma Premier pro Навыки: • Понимание при...
"Художник живописец, преподаватель",50 000 руб.,Город не указан,"Образование высшее.Харьковский художественно- промышленный институт,"" Художник - живописец, преподаватель. 2020-2020. Преподавала на кафедре дизайна Луганского национального университета имени Тараса..."
Меня зовут Егор и я иллюстратор,50 000 руб.,Город не указан,"Я работаю в этой сфере уже около 2 лет.Могу рисовать логотипы,баннеры,иконки, дизайн футболок и тд.Работаю с предоплатой 50%"
Иллюстратор,20 000 руб.,Город не указан,"Приветствую! Я иллюстратор и начинающий графический дизайнер. Последние три года рисую в диджитале.  Могу создавать дизайн персонажей, иллюстрации, рисовать портреты.  Дизайн начала осваивать месяц на..."
Дизайнер,40 000 руб.,Город не указан,Опыт работы в веб-дизайне - более 7 лет. Проходил обучение в школе веб-дизайна WDI и интенсив-курсы по веб-дизайну. Также постоянно занимаюсь самообучением и развитием новых навыков. Работал как с час...
Web-дизайнер,60 000 руб.,Город не указан,- Photoshop (5 лет); - Illustrator; - After Effects; - Figma; - Теоретические знания в области графического дизайна; - Веб-дизайн (2 года); - Понимание пользовательского поведения; - Разработка логоти...
Дизайнер/SMM,25 000 руб.,Город не указан,"Цель: открыть для себя новые навыки, обучиться новому, начать развиваться, идти вперед к успеху.  Я готова на усердную работу, даже если не совсем опытна, считаю, что всему можно научиться! Главное-же..."
Маркетолог,50 000 руб.,Город не указан,Образование: - художественная школа; - Волгоградский Технологический Техникум (специальность: конструктор-модельер верхней женской одежды); - Волгоградская Академия Государственной Службы (специальнос...
Дизайнер инфографики для маркетплесов,3 000 руб.,Город не указан,"Здравствуйте! Помогу создать инфографику для вашего товара на маркетплейсе (WB, Ozon, Я.маркет, Авито и тп). Работаю в Photoshop."
"Копирайтер, автор уникальных текстов",50 000 руб.,Город не указан,"Общий стаж работы: 20 лет Август 2019 – н.вр.: Переводчик, редактор журнала SIGN Russia Magazine (г. Дельменхорст, Германия, удаленная работа) •	Редактор-переводчик русскоязычной версии журнала SIGN E..."
Веб-дизайнер,30 000 руб.,Город не указан,Уверенно работаю в Figma. В качестве дополнительных инструментов использую Photoshop и Illustrator. В создании сайтов основной акцент делаю на удобстве восприятия информации потенциальным пользователе...
Администратор удаленно,20 000 руб.,Город не указан,"Удаленная работа 25 000 руб. Информационные технологии, интернет, телеком Телекоммуникации Занятость: частичная занятость График работы: удаленная работа, гибкий график Опыт работы 7 лет Ноябрь 2016 —..."
Дизайнер,35 000 руб.,Город не указан,"Владею пакетом Adobe,CorelDRAW, Компас 3D, SolidWorks."
Веб дизайнер,20 000 руб.,Город не указан,"Я всегда связана с творчеством. Рисую от руки, на планшете и даже иглой на коже. Закончила колледж по специальности дизайн(реклама), сейчас заканчиваю курс по веб дизайну. У меня нет еще конкретного о..."
Контент-менеджер,30 000 руб.,Город не указан,"Февраль 2020 — Октябрь 2020 9 месяцев ФЕН DRY BAR Россия, fendrybar.ru Услуги для населения... Показать еще Секретарь-администратор 1. Административная работа с сайтами Wix, Y-clients, Zoom, R.Tiger,..."
Инженер,40 000 руб.,Город не указан,ОПЫТ РАБОТЫ                                                            4 года 7 месяцев АК “АЛРОСА” | www.alrosa.ru Инженер по наладке и испытаниям | 12.2018 – по настоящее время Проведение техническо...
WEB-дизайнер,60 000 руб.,Город не указан,"Дисциплинированность, ответственность, а также знания по тайм-менеджменту, позволяют мне поддерживать высокий уровень эффективности в течении всего рабочего дня. Еженедельное обучение в Интернете поср..."
Графический дизайнер,40 000 руб.,Город не указан,"Занимаюсь графическим дизайном и веб дизайном, Создание сайтов на платформе тильда. Основные инструменты Figma, photoshop,corel draw. Регулярно прохожу доп. обучение, занимаюсь самообучением и развити..."
Помошник Инфобизнесмена,30 000 руб.,Город не указан,"Навыки и Умения  Помогаю с оформлением Youtube канала, описание к видео, подбор хештегов  Организую и упорядочу рабочие процессы с помощью Trello, MindMeister  Могу помочь в общении с клиентами, чтоб..."
Администратор,15 000 руб.,Город не указан,"Имеют опыт работы более 9 лет в должности секретаря - делопроизводителя - администратора в области образования. В мои обязанности входит подготовка проектов приказов, отчетность, работа со специализир..."
Специалист,35 000 руб.,Город не указан,"Умения и навыки:	 •	ответственно выполняю служебные обязанности и иные поручения руководства; •	быстро осваиваю новые направления деятельности, овладеваю новыми навыками; •	пунктуальна; •	уделяю внима..."
"SMM, Маркетинг, Комьюнити Менеджер (удаленно)",30 000 руб.,Город не указан,Февраль 2019 — по настоящее время Индивидуальное предпринимательство / частная практика / фриланс instaprovans.com/ СММ-Менеджер - Подготовка контент-плана и ведение аккаунтов в социальных сети Инстаг...
Программист,70 000 руб.,Город не указан,"Образование:		высшее, 1998-2004 г.г., Белорусский государственный университет информатики и радиоэлектроники, инженер по телекоммуникациям Опыт работы:		1996-2000 гг. — учреждение «Редакция газеты	«Св..."
Интернет-маркетолог / копирайтер,50 000 руб.,Город не указан,03.2019 - по настоящее время                                                                                                                                                                     1 год И...
Копирайтер,20 000 руб.,Город не указан,"Тексты all inclusive. Приветствую Вас!  Родилась, выросла и живу на Юге России, в городе Ростове-на-Дону. Копирайтер, психолог по образованию, предприниматель и менеджер по профессии.  ●lОбразование п..."
"Оператор ввода данных, корректор, редактор",25 000 руб.,Город не указан,"Ищу удаленную работу.  Имею опыт работы копирайтером, корректором, редактором, рерайтером (2 года).  Я ответственный, честный, грамотный человек. Перфекционистка во всем. Усидчива, спокойна, уравновеш..."
.NET Developer / Game dev,100 000 руб.,Город не указан,"Имею коммерческий опыт в разработке приложений на .NET. Некоммерческий опыт в разработке 2D/3D игр на Unity.  Уверенный опыт в UI дизайне, подготовка, разработка и отрисовка различных материалов для р..."
Графический дизайнер,40 000 руб.,Город не указан,"Adesk (Ноябрь 2022 — Декабрь 2022) Digital дизайнер Подготовка визуалов для рекламной компании в ВК, РСЯ Создание email рассылок Иллюстрирование статей Работа в Figma и Adobe Illustrator Sisters Agenc..."
Генеральный Специалист,80 000 руб.,Город не указан,"Добрый день кто читает текст резюме. Меня зовут Дмитрий. Я работаю с 18 лет. Закончил ""Anglo American University"" университет в Праге, Чехия в 2019 году с бакалавром на специализацию Бизнес Аналитик...."
Видеомонтажер,30 000 руб.,Город не указан,"- Портфолио: https://drive.google.com/drive/folders/1-0NTNhp2Ckh0q4dwCqSmoX741pQBsbmB?usp=sharing - Видеограф, фотограф, графический дизайнер, сценарист - 3 языка: русский, английский и турецкий - зна..."
Геймдизайнер,100 000 руб.,Город не указан,"Опыт работы геймдизайнером - суммарно 3 года, с перерывом 1. Ordinary People / Pinkapp. 02.2014 - 04.2016 2. Truly Social Games, Минское подразделение. Весь 2022 год. Дополнительно: 3. Свой личный про..."
"Администратор соц.сетей, личный помощник, копирайтер",5 000 руб.,Город не указан,"Имею высшее образование в сфере туризма, сертификат о про охождении курса по копирайтингу, на данный момент прохожу курс Вне офиса по удаленной работе (изучаю Инстаграм продвижение, дизайн, создание с..."
Smm-менеджер,15 000 руб.,Город не указан,Опыт работы 3 месяца Freelance Чебоксары SMM-менеджер Мои навыки: 1. Аудит аккаунтов бренда 2. Анализ конкурентов 3. Нахождение целевой аудитории 4. Составление стратегии продвижения 5. Разработка кон...
QA junior,15 000 руб.,Город не указан,"Умею составлять тестовую документацию: тест-кейсы и чек-листы, знаю основы тест-дизайна и тест-анализа, имею опыт работы с баг-треккером JIRA,основные HTTP-запросы Хорошо ориентируюсь в терминологии т..."
Директолог,20 001 руб.,Город не указан,Настраиваю контекстную рекламу более 3х лет. Занимаюсь этим всегда - хобби. Работала с различными рекламными агентствами. помогаю новичкам в товарном бизнесе с рекламой. 7 930 359 8180 Факторы: Не зна...
Дизайнер интерьера,60 000 руб.,Город не указан,"Почему я выбрала эту профессию? Дизайнер – это профессия для творческих людей, которые хотят творить и создавать не боясь критики в свою сторону. Каждый Дизайнер не повторим, ведь у каждого свой особе..."
